Code,Description,Type
A,ONE FAMILY DWELLINGS,ONE FAMILY DWELLINGS
A0,CAPE COD,ONE FAMILY DWELLINGS
A1,TWO STORIES - DETACHED SM OR MID,ONE FAMILY DWELLINGS
A2,ONE STORY - PERMANENT LIVING QUARTER,ONE FAMILY DWELLINGS
A3,LARGE SUBURBAN RESIDENCE,ONE FAMILY DWELLINGS
A4,CITY RESIDENCE ONE FAMILY,ONE FAMILY DWELLINGS
A5,ONE FAMILY ATTACHED OR SEMI-DETACHED,ONE FAMILY DWELLINGS
A6,SUMMER COTTAGE,ONE FAMILY DWELLINGS
A7,MANSION TYPE OR TOWN HOUSE,ONE FAMILY DWELLINGS
A8,BUNGALOW COLONY - COOPERATIVELY OWNED LAND,ONE FAMILY DWELLINGS
A9,MISCELLANEOUS ONE FAMILY,ONE FAMILY DWELLINGS
B,TWO FAMILY DWELLINGS,TWO FAMILY DWELLINGS
B1,TWO FAMILY BRICK,TWO FAMILY DWELLINGS
B2,TWO FAMILY FRAME,TWO FAMILY DWELLINGS
B3,TWO FAMILY CONVERTED FROM ONE FAMILY,TWO FAMILY DWELLINGS
B9,MISCELLANEOUS TWO FAMILY,TWO FAMILY DWELLINGS
C,WALK UP APARTMENTS,WALK UP APARTMENTS
C0,THREE FAMILIES,WALK UP APARTMENTS
C1,OVER SIX FAMILIES WITHOUT STORES,WALK UP APARTMENTS
C2,FIVE TO SIX FAMILIES,WALK UP APARTMENTS
C3,FOUR FAMILIES,WALK UP APARTMENTS
C4,OLD LAW TENEMENT,WALK UP APARTMENTS
C5,CONVERTED DWELLINGS OR ROOMING HOUSE,WALK UP APARTMENTS
C6,WALK-UP COOPERATIVE,WALK UP APARTMENTS
C7,WALK-UP APT. OVER SIX FAMILIES WITH STORES,WALK UP APARTMENTS
C8,WALK-UP CO-OP; CONVERSION FROM LOFT/WAREHOUSE,WALK UP APARTMENTS
C9,GARDEN APARTMENTS,WALK UP APARTMENTS
CB,WALKUP APT LESS THAN 11 UNITS RESIDENTIAL,WALK UP APARTMENTS
CC,WALKUP CO-OP APT LESS THAN 11 UNITS RESIDENTIAL,WALK UP APARTMENTS
CM,MOBILE HOMES/TRAILER PARKS,WALK UP APARTMENTS
D,ELEVATOR APARTMENTS,ELEVATOR APARTMENTS
D0,ELEVATOR CO-OP; CONVERSION FROM LOFT/WAREHOUSE,ELEVATOR APARTMENTS
D1,ELEVATOR APT; SEMI-FIREPROOF WITHOUT STORES,ELEVATOR APARTMENTS
D2,ELEVATOR APT; ARTISTS IN RESIDENCE,ELEVATOR APARTMENTS
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,ELEVATOR APARTMENTS
D4,ELEVATOR COOPERATIVE,ELEVATOR APARTMENTS
